filename,group,label,fold,benchmark
NHS207.png,NHS207,NHS,4,iccad1
HS66.png,HS66,HS,3,iccad1
NHS416.png,NHS416,NHS,4,iccad1
NHS374.png,NHS374,NHS,3,iccad1
NHS250.png,NHS250,NHS,4,iccad1
NHS420.png,NHS420,NHS,3,iccad1
HS56.png,HS56,HS,0,iccad1
NHS418.png,NHS418,NHS,1,iccad1
NHS259.png,NHS259,NHS,3,iccad1
NHS383.png,NHS383,NHS,2,iccad1
NHS216.png,NHS216,NHS,0,iccad1
NHS438.png,NHS438,NHS,2,iccad1
NHS106.png,NHS106,NHS,0,iccad1
NHS377.png,NHS377,NHS,3,iccad1
NHS341.png,NHS341,NHS,0,iccad1
HS41.png,HS41,HS,2,iccad1
HS44.png,HS44,HS,4,iccad1
NHS148.png,NHS148,NHS,1,iccad1
NHS389.png,NHS389,NHS,3,iccad1
NHS402.png,NHS402,NHS,1,iccad1
NHS379.png,NHS379,NHS,2,iccad1
HS76.png,HS76,HS,4,iccad1
NHS337.png,NHS337,NHS,4,iccad1
NHS292.png,NHS292,NHS,1,iccad1
NHS233.png,NHS233,NHS,2,iccad1
NHS222.png,NHS222,NHS,1,iccad1
NHS180.png,NHS180,NHS,4,iccad1
NHS424.png,NHS424,NHS,2,iccad1
NHS256.png,NHS256,NHS,0,iccad1
HS88.png,HS88,HS,2,iccad1
NHS181.png,NHS181,NHS,3,iccad1
NHS334.png,NHS334,NHS,3,iccad1
NHS384.png,NHS384,NHS,3,iccad1
NHS239.png,NHS239,NHS,2,iccad1
NHS414.png,NHS414,NHS,2,iccad1
NHS307.png,NHS307,NHS,1,iccad1
NHS372.png,NHS372,NHS,2,iccad1
NHS277.png,NHS277,NHS,1,iccad1
NHS150.png,NHS150,NHS,4,iccad1
NHS434.png,NHS434,NHS,2,iccad1
NHS126.png,NHS126,NHS,4,iccad1
NHS396.png,NHS396,NHS,1,iccad1
NHS165.png,NHS165,NHS,4,iccad1
NHS332.png,NHS332,NHS,0,iccad1
NHS232.png,NHS232,NHS,1,iccad1
NHS300.png,NHS300,NHS,4,iccad1
NHS294.png,NHS294,NHS,3,iccad1
NHS417.png,NHS417,NHS,0,iccad1
NHS432.png,NHS432,NHS,1,iccad1
NHS201.png,NHS201,NHS,0,iccad1
NHS195.png,NHS195,NHS,1,iccad1
NHS183.png,NHS183,NHS,1,iccad1
NHS351.png,NHS351,NHS,3,iccad1
NHS328.png,NHS328,NHS,2,iccad1
NHS161.png,NHS161,NHS,0,iccad1
NHS263.png,NHS263,NHS,2,iccad1
NHS246.png,NHS246,NHS,0,iccad1
HS71.png,HS71,HS,3,iccad1
NHS289.png,NHS289,NHS,3,iccad1
NHS364.png,NHS364,NHS,2,iccad1
NHS426.png,NHS426,NHS,4,iccad1
NHS391.png,NHS391,NHS,1,iccad1
NHS401.png,NHS401,NHS,0,iccad1
NHS255.png,NHS255,NHS,3,iccad1
NHS156.png,NHS156,NHS,1,iccad1
